cell_id,initial_voltage,initial_impedance,v42_voltage,v42_impedance,capacity
BS-LSBAT-S240629-0696,3.457,11.31,4.176,10.74,5.0204
BS-LSBAT-S240629-0697,3.456,11.23,4.177,10.84,5.0361
BS-LSBAT-S240629-0698,3.456,11.05,4.177,10.65,5.0635
BS-LSBAT-S240629-0699,3.456,11.29,4.176,10.64,5.0502
BS-LSBAT-S240629-0700,3.456,11.37,4.176,10.7,5.0231
BS-LSBAT-S240629-0701,3.457,11.69,4.178,11.18,5.0187
BS-LSBAT-S240629-0702,3.457,11.63,4.177,11.08,5.0223
BS-LSBAT-S240629-0703,3.457,11.31,4.176,10.98,5.0486
BS-LSBAT-S240629-0704,3.456,11.36,4.175,10.67,5.0326
BS-LSBAT-S240629-0705,3.456,11.39,4.177,10.54,5.0257
BS-LSBAT-S240629-0706,3.457,11.45,4.178,10.81,5.0351
BS-LSBAT-S240629-0707,3.455,11.22,4.177,10.44,5.0299
BS-LSBAT-S240629-0708,3.456,11.22,4.177,10.48,4.998
BS-LSBAT-S240629-0709,3.456,11.3,4.179,10.67,5.0137
BS-LSBAT-S240629-0710,3.456,11.22,4.177,10.6,5.0173
BS-LSBAT-S240629-0711,3.457,11.63,4.177,11.04,4.9987
BS-LSBAT-S240629-0712,3.457,11.46,4.177,11.08,4.9875
BS-LSBAT-S240629-0713,3.457,11.31,4.179,10.66,5.0099
BS-LSBAT-S240629-0714,3.456,11.29,4.178,10.47,5.0249
BS-LSBAT-S240629-0715,3.455,11.46,4.179,10.82,5.0197
BS-LSBAT-S240629-0716,3.456,11.56,4.178,11.03,5.0103
BS-LSBAT-S240629-0717,3.455,11.5,4.178,10.63,5.0282
BS-LSBAT-S240629-0718,3.456,11.07,4.177,10.6,5.0184
BS-LSBAT-S240629-0719,3.456,11.43,4.177,10.6,5.0021
BS-LSBAT-S240629-0720,3.456,11.46,4.177,10.79,4.9792
BS-LSBAT-S240629-0721,3.457,11.51,4.179,10.56,5.0265
BS-LSBAT-S240629-0722,3.457,11.43,4.179,11.08,5.0339
BS-LSBAT-S240629-0723,3.457,11.4,4.179,10.96,5.019
BS-LSBAT-S240629-0724,3.456,11.68,4.178,10.88,5.0289
BS-LSBAT-S240629-0725,3.455,11.32,4.179,10.67,5.0259
BS-LSBAT-S240629-0726,3.456,11.41,4.178,10.58,5.0209
BS-LSBAT-S240629-0727,3.457,11.56,4.178,11.31,5.0209
BS-LSBAT-S240629-0728,3.456,11.58,4.178,10.77,5.0214
BS-LSBAT-S240629-0729,3.456,11.4,4.179,10.6,5.0364
BS-LSBAT-S240629-0730,3.455,11.49,4.179,10.63,5.0621
BS-LSBAT-S240629-0731,3.457,11.47,4.179,11.01,5.0455
BS-LSBAT-S240629-0732,3.457,11.44,4.18,11.25,5.0354
BS-LSBAT-S240629-0733,3.456,11.65,4.18,11.14,5.0497
BS-LSBAT-S240629-0734,3.455,11.36,4.18,10.62,5.0535
BS-LSBAT-S240629-0735,3.456,11.09,4.179,10.55,5.0568
BS-LSBAT-S240629-0736,3.457,11.58,4.178,10.83,5.0289
BS-LSBAT-S240629-0737,3.457,11.36,4.179,11.05,5.0152
BS-LSBAT-S240629-0738,3.456,11.52,4.179,10.99,5.0524
BS-LSBAT-S240629-0739,3.456,11.62,4.178,10.99,5.0349
BS-LSBAT-S240629-0740,3.455,11.42,4.179,10.65,5.0334
BS-LSBAT-S240629-0741,3.457,11.66,4.179,11.3,5.0289
BS-LSBAT-S240629-0742,3.457,11.59,4.178,10.88,5.0428
BS-LSBAT-S240629-0743,3.456,11.7,4.178,11.04,5.0485
BS-LSBAT-S240629-0744,3.455,11.77,4.179,10.91,5.045
BS-LSBAT-S240629-0745,3.456,11.19,4.179,10.43,5.0465
BS-LSBAT-S240629-0746,3.457,11.4,4.18,11.12,5.037
BS-LSBAT-S240629-0747,3.457,11.59,4.179,11.13,5.0455
BS-LSBAT-S240629-0748,3.456,10.91,4.18,10.47,5.0398
BS-LSBAT-S240629-0749,3.456,11.43,4.18,10.56,4.9662
BS-LSBAT-S240629-0750,3.456,11.14,4.179,10.62,5.041
BS-LSBAT-S240629-0751,3.457,11.55,4.179,11.1,5.0386
BS-LSBAT-S240629-0752,3.457,11.31,4.178,10.86,5.0204
BS-LSBAT-S240629-0753,3.456,11.63,4.178,10.96,4.9914
BS-LSBAT-S240629-0754,3.457,11.51,4.179,11.22,5.0278
BS-LSBAT-S240629-0755,3.456,10.93,4.178,10.43,5.0353
BS-LSBAT-S240629-0756,3.457,11.52,4.178,10.79,5.0059
BS-LSBAT-S240629-0757,3.457,11.36,4.179,11.0,4.9897
BS-LSBAT-S240629-0758,3.456,11.49,4.177,10.78,5.0007
BS-LSBAT-S240629-0759,3.456,11.5,4.178,10.63,4.9926
BS-LSBAT-S240629-0760,3.456,11.08,4.178,10.53,4.978
BS-LSBAT-S240629-0761,3.457,11.76,4.179,10.97,4.9969
BS-LSBAT-S240629-0762,3.457,11.52,4.18,11.02,5.0205
BS-LSBAT-S240629-0763,3.456,11.81,4.178,10.93,5.0506
BS-LSBAT-S240629-0764,3.457,11.56,4.179,11.24,5.0011
BS-LSBAT-S240629-0765,3.456,11.25,4.18,10.58,4.8087
BS-LSBAT-S240629-0766,3.457,11.4,4.179,11.0,5.0142
BS-LSBAT-S240629-0767,3.457,11.47,4.179,11.0,5.0022
BS-LSBAT-S240629-0768,3.456,11.26,4.177,10.58,5.0028
BS-LSBAT-S240629-0769,3.456,11.06,4.178,10.61,5.0
BS-LSBAT-S240629-0770,3.456,11.11,4.178,10.44,5.0024
BS-LSBAT-S240629-0771,3.457,11.47,4.179,11.1,4.9783
BS-LSBAT-S240629-0772,3.457,11.42,4.179,10.86,5.0003
BS-LSBAT-S240629-0773,3.456,11.51,4.179,10.66,5.0118
BS-LSBAT-S240629-0774,3.457,11.52,4.178,11.03,4.9932
BS-LSBAT-S240629-0775,3.456,11.0,4.179,10.4,5.0057
BS-LSBAT-S240629-0776,3.456,11.66,4.178,10.92,5.0047
BS-LSBAT-S240629-0777,3.457,11.62,4.18,10.97,5.0179
BS-LSBAT-S240629-0778,3.456,11.37,4.179,10.72,5.0158
BS-LSBAT-S240629-0779,3.456,11.56,4.179,10.56,5.0336
BS-LSBAT-S240629-0780,3.456,11.68,4.179,11.05,4.9847
BS-LSBAT-S240629-0781,3.456,11.41,4.175,10.42,5.0508
BS-LSBAT-S240629-0782,3.456,11.63,4.176,10.56,5.0534
BS-LSBAT-S240629-0783,3.456,11.38,4.176,10.66,5.0629
BS-LSBAT-S240629-0784,3.456,10.98,4.176,10.53,5.0539
BS-LSBAT-S240629-0785,3.456,11.36,4.177,10.44,5.0629
BS-LSBAT-S240629-0786,3.456,11.11,4.177,11.34,5.034
BS-LSBAT-S240629-0787,3.456,11.35,4.175,10.34,5.0596
BS-LSBAT-S240629-0788,3.455,11.13,4.176,10.47,5.0839
BS-LSBAT-S240629-0789,3.456,11.26,4.176,10.53,5.0337
BS-LSBAT-S240629-0790,3.455,11.59,4.177,10.96,5.0339
BS-LSBAT-S240629-0791,3.456,11.54,4.176,10.55,5.0438
BS-LSBAT-S240629-0792,3.457,10.84,4.176,10.31,5.0685
BS-LSBAT-S240629-0793,3.456,11.24,4.177,10.55,5.0478
BS-LSBAT-S240629-0794,3.456,11.23,4.176,10.44,5.0509
BS-LSBAT-S240629-0795,3.456,11.31,4.176,10.46,5.0569
BS-LSBAT-S240629-0796,3.456,11.66,4.175,11.14,5.0049
BS-LSBAT-S240629-0797,3.456,11.63,4.176,11.1,5.0307
BS-LSBAT-S240629-0798,3.456,11.68,4.177,11.14,5.0412
BS-LSBAT-S240629-0799,3.456,11.71,4.176,11.22,5.0276
BS-LSBAT-S240629-0800,3.456,11.61,4.177,10.78,5.0778
BS-LSBAT-S240629-0801,3.456,11.66,4.177,11.29,5.0491
BS-LSBAT-S240629-0802,3.455,11.42,4.175,10.45,5.0776
BS-LSBAT-S240629-0803,3.455,10.82,4.176,10.45,5.0771
BS-LSBAT-S240629-0804,3.455,10.79,4.175,10.45,5.0529
BS-LSBAT-S240629-0805,3.456,11.39,4.176,10.91,5.0395
BS-LSBAT-S240629-0806,3.456,11.64,4.176,10.9,5.0681
BS-LSBAT-S240629-0807,3.456,11.66,4.177,10.76,5.0527
BS-LSBAT-S240629-0808,3.456,11.72,4.177,11.01,5.0517
BS-LSBAT-S240629-0809,3.456,11.38,4.184,10.64,5.0601
BS-LSBAT-S240629-0810,3.456,11.67,4.177,11.03,5.0353
BS-LSBAT-S240629-0811,3.456,11.6,4.177,10.94,5.0569
BS-LSBAT-S240629-0812,3.456,11.23,4.175,10.42,5.076
BS-LSBAT-S240629-0813,3.455,10.8,4.178,10.42,4.8674
BS-LSBAT-S240629-0814,3.455,11.21,4.178,10.41,4.8665
BS-LSBAT-S240629-0815,3.456,11.75,4.178,11.44,4.8671
BS-LSBAT-S240629-0816,3.456,11.63,4.177,10.73,4.8665
BS-LSBAT-S240629-0817,3.456,11.6,4.179,10.89,4.8647
BS-LSBAT-S240629-0818,3.456,11.65,4.177,10.82,4.8665
BS-LSBAT-S240629-0819,3.456,11.51,4.177,10.6,4.8676
BS-LSBAT-S240629-0820,3.456,11.54,4.179,10.99,4.8702
BS-LSBAT-S240629-0821,3.456,11.52,4.179,10.86,4.7919
BS-LSBAT-S240629-0822,3.456,11.5,4.18,11.01,4.8678
BS-LSBAT-S240629-0823,3.456,10.92,4.178,10.29,4.8669
BS-LSBAT-S240629-0824,3.456,11.66,4.178,10.79,4.8662
BS-LSBAT-S240629-0825,3.456,11.62,4.185,11.12,4.8668
BS-LSBAT-S240629-0826,3.456,11.58,4.178,11.06,4.8651
BS-LSBAT-S240629-0827,3.456,11.43,4.177,10.62,4.8669
BS-LSBAT-S240629-0828,3.456,11.61,4.177,10.92,4.8679
BS-LSBAT-S240629-0829,3.456,11.52,4.177,10.57,4.9933
BS-LSBAT-S240629-0830,3.456,11.57,4.179,10.67,5.0461
BS-LSBAT-S240629-0831,3.456,11.47,4.178,10.58,5.0046
BS-LSBAT-S240629-0832,3.456,11.59,4.178,10.78,5.0244
BS-LSBAT-S240629-0833,3.456,11.64,4.178,11.23,5.0042
BS-LSBAT-S240629-0834,3.456,11.58,4.177,10.82,5.0081
BS-LSBAT-S240629-0835,3.456,11.65,4.177,10.66,5.0037
BS-LSBAT-S240629-0836,3.456,11.56,4.178,11.0,5.0331
BS-LSBAT-S240629-0837,3.456,11.64,4.178,10.93,5.0406
BS-LSBAT-S240629-0838,3.456,11.52,4.179,10.68,5.021
BS-LSBAT-S240629-0839,3.456,11.52,4.179,10.65,5.0474
BS-LSBAT-S240629-0840,3.456,11.55,4.179,10.75,5.0273
BS-LSBAT-S240629-0841,3.456,11.52,4.184,10.44,4.9275
BS-LSBAT-S240629-0842,3.456,11.52,4.177,10.71,5.024
BS-LSBAT-S240629-0843,3.456,11.53,4.179,10.48,5.0359
BS-LSBAT-S240629-0844,3.456,11.52,4.176,10.55,5.0479
BS-LSBAT-S240629-0845,3.456,11.57,4.178,11.13,5.0155
BS-LSBAT-S240629-0846,3.457,11.44,4.177,10.62,5.0136
BS-LSBAT-S240629-0847,3.456,11.03,4.177,10.51,5.0268
BS-LSBAT-S240629-0848,3.456,11.6,4.177,10.59,5.0413
BS-LSBAT-S240629-0849,3.456,11.33,4.178,10.59,4.9091
BS-LSBAT-S240629-0850,3.456,11.53,4.176,10.69,5.0226
BS-LSBAT-S240629-0851,3.456,11.26,4.176,10.74,5.0129
BS-LSBAT-S240629-0852,3.456,11.31,4.177,10.71,5.0491
BS-LSBAT-S240629-0853,3.456,11.4,4.178,10.8,5.0344
BS-LSBAT-S240629-0854,3.456,11.39,4.178,10.53,5.0497
BS-LSBAT-S240629-0855,3.456,11.28,4.178,10.75,5.0376
BS-LSBAT-S240629-0856,3.456,11.44,4.176,10.71,5.0297
BS-LSBAT-S240629-0857,3.456,11.59,4.184,10.75,4.942
BS-LSBAT-S240629-0858,3.456,11.62,4.176,10.85,5.0356
BS-LSBAT-S240629-0859,3.456,11.21,4.177,10.6,5.015
BS-LSBAT-S240629-0860,3.456,11.3,4.176,10.71,5.0204
BS-LSBAT-S240629-0861,3.456,11.54,4.178,10.48,5.0527
BS-LSBAT-S240629-0862,3.456,11.38,4.178,10.75,5.0558
BS-LSBAT-S240629-0863,3.456,11.42,4.177,10.57,5.0329
BS-LSBAT-S240629-0864,3.456,11.42,4.178,10.75,5.0419
BS-LSBAT-S240629-0865,3.456,11.38,4.179,10.54,5.0425
BS-LSBAT-S240629-0866,3.456,11.65,4.177,10.51,5.0407
BS-LSBAT-S240629-0867,3.456,11.51,4.177,10.92,5.0406
BS-LSBAT-S240629-0868,3.456,11.5,4.178,10.88,5.0528
BS-LSBAT-S240629-0869,3.456,11.72,4.18,11.13,5.0535
BS-LSBAT-S240629-0870,3.456,11.67,4.179,11.02,5.0178
BS-LSBAT-S240629-0871,3.456,11.37,4.179,10.51,5.0316
BS-LSBAT-S240629-0872,3.456,11.06,4.178,10.42,5.0671
BS-LSBAT-S240629-0873,3.456,11.59,4.185,10.97,4.9251
BS-LSBAT-S240629-0874,3.456,11.45,4.178,10.8,5.0323
BS-LSBAT-S240629-0875,3.456,11.36,4.178,10.6,5.0306
BS-LSBAT-S240629-0876,3.456,11.49,4.177,11.06,5.0295
BS-LSBAT-S240629-0877,3.456,10.87,4.176,10.62,5.0417
BS-LSBAT-S240629-0878,3.456,11.39,4.177,10.94,5.0278
BS-LSBAT-S240629-0879,3.456,11.31,4.176,10.7,5.053
BS-LSBAT-S240629-0880,3.456,11.42,4.177,10.8,4.8042
BS-LSBAT-S240629-0881,3.456,10.77,4.176,10.49,5.079
BS-LSBAT-S240629-0882,3.455,10.99,4.176,10.55,5.0492
BS-LSBAT-S240629-0883,3.456,11.58,4.177,10.87,5.0279
BS-LSBAT-S240629-0884,3.456,11.43,4.177,10.76,5.0598
BS-LSBAT-S240629-0885,3.456,11.44,4.177,11.1,5.0366
BS-LSBAT-S240629-0886,3.456,11.63,4.177,11.17,5.0366
BS-LSBAT-S240629-0887,3.456,11.26,4.178,10.62,5.0569
BS-LSBAT-S240629-0888,3.456,11.37,4.177,10.6,5.0534
BS-LSBAT-S240629-0889,3.456,11.41,4.178,10.71,5.0642
BS-LSBAT-S240629-0890,3.456,11.34,4.177,10.61,5.0384
BS-LSBAT-S240629-0891,3.455,11.2,4.176,10.54,5.0545
BS-LSBAT-S240629-0892,3.456,11.55,4.176,10.54,5.0711
BS-LSBAT-S240629-0893,3.456,11.5,4.176,10.99,5.0444
BS-LSBAT-S240629-0894,3.456,11.1,4.177,10.79,5.0582
BS-LSBAT-S240629-0895,3.456,11.62,4.176,10.84,5.0332
BS-LSBAT-S240629-0896,3.456,11.47,4.177,11.0,5.0603
BS-LSBAT-S240629-0897,3.456,11.13,4.177,10.48,5.0504
BS-LSBAT-S240629-0898,3.456,11.27,4.176,10.47,5.0401
BS-LSBAT-S240629-0899,3.456,11.3,4.176,10.56,5.0513
BS-LSBAT-S240629-0900,3.456,10.97,4.176,10.46,4.9553
BS-LSBAT-S240629-0901,3.456,11.08,4.177,10.55,5.0788
BS-LSBAT-S240629-0902,3.456,11.57,4.178,10.93,5.0288
BS-LSBAT-S240629-0903,3.456,11.0,4.177,10.5,4.9109
BS-LSBAT-S240629-0904,3.456,11.24,4.175,10.52,5.0525
BS-LSBAT-S240629-0905,3.456,11.66,4.176,11.25,5.0262
BS-LSBAT-S240629-0906,3.456,11.45,4.176,10.88,5.0398
BS-LSBAT-S240629-0907,3.456,11.11,4.175,10.5,5.0661
BS-LSBAT-S240629-0908,3.455,11.04,4.175,10.53,5.0646
BS-LSBAT-S240629-0909,3.456,10.72,4.176,10.5,5.0702
BS-LSBAT-S240629-0910,3.454,11.11,4.177,10.56,5.0974
BS-LSBAT-S240629-0911,3.456,11.0,4.177,10.64,5.0574
BS-LSBAT-S240629-0912,3.456,11.26,4.178,10.62,5.068
BS-LSBAT-S240629-0913,3.456,11.07,4.178,10.54,5.0573
BS-LSBAT-S240629-0914,3.456,10.99,4.177,10.71,5.0423
BS-LSBAT-S240629-0915,3.456,11.23,4.176,10.72,5.0476
BS-LSBAT-S240629-0916,3.456,11.02,4.178,10.66,5.0481
BS-LSBAT-S240629-0917,3.455,11.38,4.178,10.59,5.0535
BS-LSBAT-S240629-0918,3.456,11.01,4.178,10.73,5.0611
BS-LSBAT-S240629-0919,3.455,11.21,4.178,10.66,5.0756
BS-LSBAT-S240629-0920,3.455,11.24,4.176,10.65,5.0452
BS-LSBAT-S240629-0921,3.456,11.07,4.178,10.59,5.0551
BS-LSBAT-S240629-0922,3.456,11.38,4.177,10.73,5.0498
BS-LSBAT-S240629-0923,3.456,10.92,4.177,10.7,5.0596
BS-LSBAT-S240629-0924,3.455,11.06,4.176,10.78,5.0327
BS-LSBAT-S240629-0925,3.456,11.32,4.178,10.79,5.0193
BS-LSBAT-S240629-0926,3.456,11.45,4.178,10.74,5.039
BS-LSBAT-S240629-0927,3.456,11.32,4.177,10.7,5.0138
BS-LSBAT-S240629-0928,3.456,11.24,4.179,10.78,5.0342
BS-LSBAT-S240629-0929,3.456,11.12,4.178,10.75,5.0329
BS-LSBAT-S240629-0930,3.456,11.15,4.177,10.67,5.0181
BS-LSBAT-S240629-0931,3.456,11.41,4.177,10.69,5.032
BS-LSBAT-S240629-0932,3.456,11.44,4.178,10.75,5.0274
BS-LSBAT-S240629-0933,3.456,11.33,4.178,10.7,5.0233
BS-LSBAT-S240629-0934,3.456,11.15,4.179,10.74,5.0435
BS-LSBAT-S240629-0935,3.456,11.24,4.175,10.69,5.0086
BS-LSBAT-S240629-0936,3.456,11.2,4.178,10.8,5.0141
BS-LSBAT-S240629-0937,3.456,11.16,4.179,10.72,4.8706
BS-LSBAT-S240629-0938,3.456,11.18,4.176,10.7,5.0267
BS-LSBAT-S240629-0939,3.455,11.26,4.177,10.78,5.0466
BS-LSBAT-S240629-0940,3.455,11.26,4.176,10.79,5.0363
BS-LSBAT-S240629-0941,3.456,11.13,4.177,10.74,5.0522
BS-LSBAT-S240629-0942,3.456,11.28,4.178,10.68,5.0294
BS-LSBAT-S240629-0943,3.456,10.96,4.178,10.69,5.0343
BS-LSBAT-S240629-0944,3.456,11.46,4.178,10.83,5.0588
BS-LSBAT-S240629-0945,3.456,11.29,4.178,10.76,5.0291
BS-LSBAT-S240629-0946,3.456,11.1,4.177,10.79,5.0187
BS-LSBAT-S240629-0947,3.456,11.38,4.177,10.73,5.0309
BS-LSBAT-S240629-0948,3.456,11.2,4.179,10.65,5.047
BS-LSBAT-S240629-0949,3.456,11.43,4.178,10.73,5.0262
BS-LSBAT-S240629-0950,3.456,11.04,4.179,10.65,5.0456
BS-LSBAT-S240629-0951,3.456,11.2,4.178,10.74,5.0632
BS-LSBAT-S240629-0952,3.456,11.07,4.178,10.71,5.031
BS-LSBAT-S240629-0953,3.456,11.17,4.179,10.71,5.0592
BS-LSBAT-S240629-0954,3.456,11.3,4.178,10.72,5.0458
BS-LSBAT-S240629-0955,3.456,11.18,4.178,10.72,5.0186
BS-LSBAT-S240629-0956,3.456,11.06,4.177,10.73,5.0191
BS-LSBAT-S240629-0957,3.455,11.21,4.177,10.72,5.045
BS-LSBAT-S240629-0958,3.456,11.3,4.176,10.66,5.0538
BS-LSBAT-S240629-0959,3.455,11.16,4.177,10.65,5.0357
BS-LSBAT-S240629-0960,3.455,11.13,4.176,10.64,5.0566
BS-LSBAT-S240629-0961,3.456,11.21,4.178,10.77,5.0616
BS-LSBAT-S240629-0962,3.456,11.28,4.176,10.74,5.0367
BS-LSBAT-S240629-0963,3.456,11.18,4.176,10.76,5.0537
BS-LSBAT-S240629-0964,3.456,11.21,4.177,10.71,5.0528
BS-LSBAT-S240629-0965,3.456,11.21,4.177,10.77,5.0543
BS-LSBAT-S240629-0966,3.456,11.21,4.178,10.75,5.0625
BS-LSBAT-S240629-0967,3.456,11.36,4.177,10.55,5.0624
BS-LSBAT-S240629-0968,3.456,11.37,4.177,10.79,5.0435
BS-LSBAT-S240629-0969,3.456,11.21,4.178,10.76,5.0545
BS-LSBAT-S240629-0970,3.456,11.22,4.177,10.69,5.0439
BS-LSBAT-S240629-0971,3.455,11.34,4.177,10.71,5.0438
BS-LSBAT-S240629-0972,3.456,11.05,4.175,10.74,5.0746
BS-LSBAT-S240629-0973,3.456,11.2,4.178,10.69,5.0557
BS-LSBAT-S240629-0974,3.456,11.31,4.179,10.69,5.0417
BS-LSBAT-S240629-0975,3.456,11.15,4.178,10.69,5.0415
BS-LSBAT-S240629-0976,3.456,11.11,4.179,10.66,5.0569
BS-LSBAT-S240629-0977,3.456,11.34,4.179,10.81,5.0625
BS-LSBAT-S240629-0978,3.456,11.17,4.177,10.69,5.0443
BS-LSBAT-S240629-0979,3.456,11.41,4.178,10.69,5.0426
BS-LSBAT-S240629-0980,3.456,11.33,4.178,10.7,5.0473
BS-LSBAT-S240629-0981,3.456,11.33,4.179,10.66,5.0573
BS-LSBAT-S240629-0982,3.456,11.35,4.179,10.76,5.0443
BS-LSBAT-S240629-0983,3.455,11.2,4.178,10.66,5.0569
BS-LSBAT-S240629-0984,3.454,10.99,4.178,10.74,5.0486
BS-LSBAT-S240629-0985,3.455,11.35,4.178,10.79,5.0476
BS-LSBAT-S240629-0986,3.455,11.36,4.179,10.72,5.0683
BS-LSBAT-S240629-0987,3.456,11.09,4.178,10.66,5.0324
BS-LSBAT-S240629-0988,3.456,11.42,4.177,10.66,5.0246
BS-LSBAT-S240629-0989,3.456,11.16,4.178,10.7,5.05
BS-LSBAT-S240629-0990,3.456,11.03,4.179,10.69,5.032
BS-LSBAT-S240629-0991,3.456,11.43,4.178,10.76,5.0435
BS-LSBAT-S240629-0992,3.456,11.19,4.18,10.8,5.0484
BS-LSBAT-S240629-0993,3.456,11.21,4.18,10.48,5.0353
BS-LSBAT-S240629-0994,3.456,11.31,4.178,10.64,5.0287
BS-LSBAT-S240629-0995,3.456,11.37,4.177,10.71,5.0532
BS-LSBAT-S240629-0996,3.456,11.42,4.178,10.79,5.0748
BS-LSBAT-S240629-0997,3.456,11.36,4.179,10.69,5.0717
BS-LSBAT-S240629-0998,3.456,11.1,4.179,10.69,5.044
BS-LSBAT-S240629-0999,3.456,11.16,4.178,10.64,5.0572
BS-LSBAT-S240629-1000,3.456,11.08,4.179,10.55,5.0481
BS-LSBAT-S240629-1001,3.456,11.19,4.18,10.68,5.0484
BS-LSBAT-S240629-1002,3.456,11.31,4.178,10.74,5.0661
BS-LSBAT-S240629-1003,3.456,11.0,4.178,10.61,5.0307
BS-LSBAT-S240629-1004,3.455,10.86,4.177,10.64,5.0318
BS-LSBAT-S240629-1005,3.455,11.3,4.179,10.72,5.0249
BS-LSBAT-S240629-1006,3.455,11.35,4.179,10.59,5.008
BS-LSBAT-S240629-1007,3.456,11.02,4.178,10.55,5.0072
BS-LSBAT-S240629-1008,3.456,11.24,4.179,10.72,5.025
BS-LSBAT-S240629-1009,3.456,11.18,4.18,10.69,5.0171
BS-LSBAT-S240629-1010,3.456,11.12,4.178,10.62,5.0087
BS-LSBAT-S240629-1011,3.456,11.32,4.178,10.8,5.0096
BS-LSBAT-S240629-1012,3.456,11.26,4.179,10.7,5.0403
BS-LSBAT-S240629-1013,3.456,10.95,4.178,10.65,5.0293
BS-LSBAT-S240629-1014,3.456,11.22,4.179,10.5,5.0252
BS-LSBAT-S240629-1015,3.456,11.41,4.179,10.68,5.0365
BS-LSBAT-S240629-1016,3.456,11.22,4.179,10.7,5.0266
BS-LSBAT-S240629-1017,3.456,11.32,4.179,10.5,5.0418
BS-LSBAT-S240629-1018,3.456,11.05,4.177,10.53,5.0426
BS-LSBAT-S240629-1019,3.456,11.19,4.177,10.68,5.0061
BS-LSBAT-S240629-1020,3.456,11.23,4.178,10.55,5.0083
BS-LSBAT-S240629-1021,3.456,11.15,4.178,10.82,5.0213
BS-LSBAT-S240629-1022,3.456,11.51,4.179,10.69,5.0199
BS-LSBAT-S240629-1023,3.456,11.06,4.178,10.63,5.0163
BS-LSBAT-S240629-1024,3.455,11.41,4.179,10.64,5.0508
BS-LSBAT-S240629-1025,3.455,11.33,4.179,10.67,5.0463
BS-LSBAT-S240629-1026,3.456,11.21,4.177,10.71,5.0292
BS-LSBAT-S240629-1027,3.456,11.14,4.178,10.55,5.0127
BS-LSBAT-S240629-1028,3.456,11.44,4.18,10.89,4.9995
BS-LSBAT-S240629-1029,3.456,11.24,4.179,10.65,5.0159
BS-LSBAT-S240629-1030,3.456,11.17,4.179,10.68,5.0093
BS-LSBAT-S240629-1031,3.456,11.03,4.179,10.87,5.0375
BS-LSBAT-S240629-1032,3.456,11.26,4.178,10.85,5.0309
BS-LSBAT-S240629-1033,3.456,11.34,4.179,10.67,5.0414
BS-LSBAT-S240629-1034,3.456,11.34,4.178,10.63,5.0481
BS-LSBAT-S240629-1035,3.456,10.98,4.178,10.64,5.0333
BS-LSBAT-S240629-1036,3.456,11.39,4.177,10.72,5.0045
BS-LSBAT-S240629-1037,3.456,11.34,4.178,10.78,5.0248
BS-LSBAT-S240629-1038,3.456,11.32,4.179,10.78,5.0516
BS-LSBAT-S240629-1039,3.456,11.15,4.179,10.59,5.0448
BS-LSBAT-S240629-1040,3.456,11.01,4.178,10.67,5.0255
